NO,ID,会社名,ふりがな,カテゴリ,人数,備考
,4,アイホン⑭,アイホン,1,1,
,5,スズキ⑭,スズキ⑭,1,4,
,6,⑭トヨタケーラム,⑭トヨタケーラム,1,1,
,7,川崎マイクロエレクトロニクス⑭,,1,1,大学院
,8,SUNX⑭,,1,1,学部
,9,⑭日立超LSIシステムズ,,3,0,
,10,ソニー･エリクソン･モバイルコミュニケーションズ⑭,,1,1,"[面]ソフトウェア部門　推薦1名　
ハードウェア部門　自由応募　留学生は自由応募　博士も応募可能だが枠外　
ソニーは携帯を作ってはいけないことになっている。携帯関係はすべてソニーエリクソン"
,11,NTTソフトウェア⑭,,1,1,学部､大学院合わせて１名
,12,住友電気工業(株),,1,2,学部､大学院合わせて２名
,13,(株)富士通中国システムズ,,3,0,"[面]推薦人数制限なし、留学生別枠(中国・フィリピン等)"
,14,(株)富士通岡山システムエンジニアリング,,3,0,
,15,(株)リコー,,1,3,[面]学部､大学院合わせて３名　推薦　留学生も同一条件
,16,(株)ニッソーサービス,,1,1,学部､大学院それぞれ１名
,17,ブラザー工業(株),,1,2,学部､大学院合わせて２名
,18,(株)デンソークリエイト,,1,1,学部､大学院合わせて１名
,19,日立ビアメカニクス(株),,1,2,学部､大学院合わせて２名
,20,ニスカ(株),,1,2,学部､大学院合わせて２名
,21,NTTコミュニケーションズ(株),,1,2,学部､大学院合わせて２名程度
,22,TIS(株),,1,2,"[面]学部､大学院合わせて１～２名　留学生可
旧社名は東洋情報システムで，システムインテグレーションの業界では国内2位グループ"
,23,NTT東日本（東日本電信電話株式会社）,,1,2,"[面］学部､大学院合わせて２名　
NTT関連会社が多数あるのでそれぞれの業務内容，求人内容をよく検討すること"
,24,パイオニア（株）,,1,1,"[面]学部､大学院それぞれ１名　推薦希望者であってもhttp://www.pioneer.co.jp　採用情報　MY PAGEに登録すること
 留学生も同一条件　大規模システム開発ではなく，組込み系のシステム開発が主"
,25,NEC（日本電気株式会社）,,1,8,"［面］修士/学士合わせて8名，博士は別枠 留学生も同一条件
 3月中旬以降OB経由で予約して見学及びマッチング面談を行っておくこと"
,26,トキメック(株),,3,0,[面]
,27,アンリツ(株),,1,2,学部､大学院合わせて２名
,28,神鋼電機(株),,1,1,学部､大学院合わせて１名
,29,日本製紙(株),,1,2,学部､大学院合わせて２名
,30,(株)ボッシュオートモーティブシステム,,3,0,学校推薦のみ
,31,(株)ビジネスブレイン太田昭和,,3,0,"[面]自由応募　リクナビから　留学生も可能だが日本語が堪能なこと　
元々は監査法人，財務会計のソフト開発，コンサルティング"
,32,富士通マイクロソリューションズ(株),,1,2,"[面]学士，修士，博士込みで推薦1～2名　
設計開発専門の会社，富士通の子会社として一昨年設立，富士通グループ中業績伸び率トップ　特にSystem on chipの設計開発，富士通の開発部門　給与等は富士通と全く一緒　"
,33,インクリメントＰ(株),,1,1,"[面]学部､大学院合わせて１名
　ＭａｐＦａｎを作っている会社。パイオニアの関連会社　地図，カーナビに関連する広範囲の技術者を募集。開発業務　修士入試に失敗した後でもチャレンジ可能"
,34,(株)ルネサステクノロジ,,1,1,"[面]学部､大学院合わせて１名
　三菱・日立の合弁，日本最大の半導体メーカ　ハードだけでなくシステム開発の人材も募集　留学生可"
,35,松下電器産業(株),,1,4,学部､大学院合わせて４名
,36,パナソニックモバイルコミュニケーションズ(株),,1,4,[面]学部､大学院合わせて４名　※松下電器産業グループで一括採用
,37,(株)ニコン,,3,0,[面]
,38,(株)ブリヂストン,,1,4,学部､大学院合わせて４名
,39,西日本電信電話(株),,1,1,学部､大学院合わせて１名
,40,(株)東京機械製作所,,1,2,学部､大学院合わせて２名
,41,日本電信電話(株),,1,3,他学科合計３名
,42,日本電気(株),,1,2,学部､大学院合わせて２名
,43,(株)PFU,,1,2,"[面]ハードソフトの開発エンジニア　学部・修士合わせて1～2名
 留学生も同一条件
 北陸出身者は石川県に開発センターがある。
 SE　自由応募"
,44,三洋電機(株),,1,1,[面]組込み系ソフトウェア　修士1名　推薦
,45,(株)NTTデータ,,1,4,"[面]学士・修士合わせて　4名　推薦
 通常卒業年次＋2年まで
 留学生も同一条件"
,46,NTTコミュニケーションズ(株),,1,4,"[面]学士・修士合わせて　4名　推薦
 留学生も同一条件"
,47,(株)エム・ピー・テクノロジーズ,,1,1,[面]修士・学士合わせて1名　推薦
,48,古野電気(株),,1,2,"[面]魚群探知機を作った会社，船舶用の航法装置などのトップメーカ
 修士・学士合わせて2名　推薦
 留学生不可"
,49,(株)NTTドコモ,,1,1,[面]学部､大学院合わせて１名
,50,(株)デンソーアイテック,,1,1,[面]他学科とあわせて1名
,51,富士電機グループ,,1,2,"[面]学部,大学院合わせて2名（グループで一括採用）"
,52,ローム(株),,1,2,[面]大学院2名
,53,(株)富士ゼロックス,,1,1,[面]大学院1名
,54,三菱電機(株),,3,0,[面]
,55,アンリツ産機システム(株),,1,2,"学科,大学院合わせて１～２名"
,56,三菱電機エンジニアリング(株),,3,0,
,57,リコープリンティングシステムズ(株),,3,0,
,58,富士通サポート＆サービス(株),,3,0,
,59,豊田工機(株),,1,2,"学科,大学院合わせて１～２名"
